Dataset,Replica,RunTime,,,Dataset,Replica,RunTime
LR,3,6.754,,,,,
LR,2,7.57,,,,,
LR,1,7.986,,,,,
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Amazon,30,0.10500
Dataset,Replica,RunTime
Amazon,30,0.07900
Dataset,Replica,RunTime
Amazon,30,0.08000
Dataset,Replica,RunTime
Amazon,30,21.15800
Dataset,Replica,RunTime
Amazon,30,0.06700
Dataset,Replica,RunTime
Amazon,30,0.05700
Dataset,Replica,RunTime
Amazon,30,0.06000
Dataset,Replica,RunTime
Amazon,30,2.27200
Dataset,Replica,RunTime
Amazon,30,2.41000
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Amazon,30,2.28900
Dataset,Replica,RunTime
Amazon,30,2.29000
Dataset,Replica,RunTime
Amazon,30,2.86700
Dataset,Replica,RunTime
Amazon,30,2.25400
Dataset,Replica,RunTime
Amazon,30,2.45400
Dataset,Replica,RunTime
Amazon,30,2.63100
Amazon,29,3.11700
Dataset,Replica,RunTime
Amazon,30,2.75100
Amazon,29,3.00600
Amazon,28,3.14800
Amazon,27,3.39900
Amazon,26,4.10400
Amazon,25,3.26600
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.01600
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.07400
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Amazon,30,0.01600
Dataset,Replica,RunTime
Adult,30,0.01600
Dataset,Replica,RunTime
Civil,30,0.00400
Dataset,Replica,RunTime
Civil,30,0.02400
Dataset,Replica,RunTime
Adult,26,6.14500
Dataset,Replica,RunTime
Amazon,30,0.00700
Dataset,Replica,RunTime
Adult,26,8.49300
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Amazon,30,0.02000
Dataset,Replica,RunTime
Amazon,30,0.01900
Dataset,Replica,RunTime
Civil,30,0.02000
Dataset,Replica,RunTime
Civil,30,0.01900
Dataset,Replica,RunTime
Civil,30,0.04200
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.01400
Dataset,Replica,RunTime
Civil,30,0.01900
Dataset,Replica,RunTime
Civil,30,0.01700
Dataset,Replica,RunTime
Civil,30,0.02600
Dataset,Replica,RunTime
Civil,30,0.01600
Civil,29,0.01600
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,5.56800
Dataset,Replica,RunTime
Civil,30,0.02900
Dataset,Replica,RunTime
Civil,30,0.01600
Dataset,Replica,RunTime
Civil,30,0.01500
Dataset,Replica,RunTime
Civil,30,0.01500
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.01500
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.02000
Dataset,Replica,RunTime
Civil,30,0.01900
Dataset,Replica,RunTime
Civil,30,0.01700
