treeID	avgBetweenness	avgClusteringCoeff	avgInDegree	avgOutDegree	diameter	edgeCount	meanDistance	medianDegree	triad1	triad10	triad11	triad12	triad13	triad14	triad15	triad16	triad2	triad3	triad4	triad5	triad6	triad7	triad8	triad9	vertexCount	label
897	7.37037037037037	0.5814814814814815	2.888888888888889	2.888888888888889	0.8571428571428571	43.0	0.617714546661915	6.0	5.0	1.0	1.0	5.0	3.0	2.0	3.0	0.0	24.0	7.0	3.0	2.0	12.0	8.0	2.0	6.0	9.0	10.0
898	5.166666666666666	0.6666666666666666	3.4444444444444446	3.4444444444444446	1.0	43.0	0.7524113313586998	8.0	3.0	0.0	0.0	5.0	0.0	4.0	11.0	3.0	18.0	15.0	1.0	6.0	8.0	8.0	0.0	2.0	9.0	10.0
899	10.966666666666667	0.4852813852813853	2.909090909090909	2.909090909090909	0.7272727272727273	58.0	0.5506755870392234	6.0	21.0	2.0	3.0	2.0	1.0	7.0	3.0	0.0	56.0	11.0	4.0	14.0	22.0	8.0	4.0	7.0	11.0	10.0
900	10.77121212121212	0.6305194805194806	3.0	3.0	0.8	58.0	0.5845417209053573	6.0	20.0	4.0	1.0	2.0	2.0	9.0	3.0	0.0	57.0	4.0	7.0	11.0	22.0	6.0	5.0	12.0	11.0	15.0
901	7.4848484848484835	0.6140692640692641	4.0	4.0	0.75	58.0	0.6279606756879482	8.0	6.0	4.0	1.0	4.0	5.0	11.0	5.0	2.0	32.0	10.0	8.0	13.0	23.0	13.0	11.0	17.0	11.0	15.0
902	6.895833333333334	0.625	2.5	2.5	0.75	34.0	0.5947698135198135	5.5	4.0	2.0	1.0	1.0	1.0	4.0	0.0	0.0	11.0	2.0	3.0	5.0	11.0	5.0	3.0	3.0	8.0	15.0
903	6.124999999999999	0.5833333333333334	1.875	1.875	1.0	34.0	0.728344298245614	4.0	5.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	25.0	6.0	0.0	1.0	10.0	2.0	0.0	4.0	8.0	15.0
904	5.722222222222221	0.48148148148148145	2.5555555555555554	2.5555555555555554	1.0	34.0	0.6942480359147027	5.0	12.0	0.0	2.0	2.0	0.0	1.0	2.0	2.0	21.0	13.0	4.0	1.0	10.0	11.0	1.0	2.0	9.0	15.0
905	7.75	0.5208333333333333	1.5	1.5	1.0	25.0	0.700206043956044	3.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	29.0	4.0	1.0	1.0	9.0	1.0	0.0	2.0	8.0	15.0
906	7.25	0.8250000000000001	2.5	2.5	0.75	34.0	0.6104166666666666	5.5	3.0	3.0	0.0	2.0	0.0	5.0	1.0	0.0	14.0	2.0	1.0	5.0	12.0	0.0	1.0	7.0	8.0	15.0
907	12.277777777777779	0.6333333333333333	2.2222222222222223	2.2222222222222223	0.7777777777777777	34.0	0.5195918928375068	5.0	11.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	29.0	2.0	2.0	5.0	17.0	2.0	5.0	6.0	9.0	15.0
908	11.141666666666666	0.4457142857142856	2.7	2.7	0.6666666666666666	46.0	0.5219098548510314	5.5	12.0	2.0	1.0	4.0	0.0	3.0	2.0	0.0	37.0	6.0	5.0	11.0	24.0	3.0	2.0	8.0	10.0	15.0
909	5.259259259259259	0.4407407407407407	2.3333333333333335	2.3333333333333335	0.8	34.0	0.641943241943242	5.0	11.0	0.0	2.0	3.0	0.0	1.0	2.0	0.0	27.0	13.0	1.0	3.0	11.0	5.0	5.0	0.0	9.0	15.0
910	6.531250000000001	0.7779761904761905	2.75	2.75	0.75	34.0	0.6395833333333333	5.5	5.0	3.0	1.0	2.0	2.0	5.0	1.0	0.0	8.0	2.0	5.0	3.0	7.0	7.0	2.0	3.0	8.0	15.0
911	9.527777777777779	0.4703703703703704	2.2222222222222223	2.2222222222222223	0.8333333333333334	34.0	0.5718454385121051	3.0	11.0	1.0	0.0	3.0	0.0	2.0	2.0	0.0	32.0	5.0	2.0	6.0	11.0	5.0	2.0	2.0	9.0	15.0
912	9.457575757575757	0.6311688311688312	3.272727272727273	3.272727272727273	0.7272727272727273	58.0	0.5790680279316643	7.0	9.0	7.0	1.0	6.0	3.0	7.0	1.0	0.0	54.0	10.0	9.0	11.0	25.0	5.0	1.0	16.0	11.0	15.0
913	5.375	0.525	1.875	1.875	0.8	25.0	0.6401360544217687	3.5	6.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	23.0	1.0	2.0	2.0	12.0	1.0	1.0	4.0	8.0	15.0
914	7.229166666666666	0.6833333333333332	2.625	2.625	1.0	34.0	0.6410195707070707	5.0	2.0	0.0	0.0	4.0	1.0	3.0	2.0	1.0	17.0	5.0	2.0	1.0	9.0	4.0	0.0	5.0	8.0	15.0
915	18.041666666666664	0.44219576719576725	2.5833333333333335	2.5833333333333335	0.5263157894736842	58.0	0.46663356031204994	5.0	38.0	5.0	0.0	2.0	0.0	3.0	0.0	0.0	85.0	2.0	8.0	21.0	40.0	2.0	1.0	13.0	12.0	15.0
916	12.15	0.6102380952380952	2.6	2.6	0.6153846153846154	43.0	0.5272808718629152	5.5	10.0	6.0	0.0	1.0	1.0	0.0	0.0	0.0	42.0	1.0	4.0	12.0	23.0	4.0	1.0	15.0	10.0	15.0
917	7.416666666666666	0.5833333333333334	2.5	2.5	0.75	34.0	0.60625	5.5	4.0	2.0	1.0	1.0	2.0	4.0	1.0	0.0	16.0	3.0	2.0	3.0	6.0	7.0	3.0	1.0	8.0	15.0
918	12.441666666666666	0.31666666666666665	2.7	2.7	0.6666666666666666	43.0	0.5332500832500833	5.0	14.0	2.0	1.0	5.0	0.0	2.0	1.0	0.0	32.0	7.0	6.0	11.0	24.0	5.0	9.0	1.0	10.0	15.0
919	10.296296296296296	0.5814814814814814	2.6666666666666665	2.6666666666666665	0.7777777777777777	43.0	0.5691444358111024	6.0	8.0	3.0	0.0	1.0	3.0	3.0	0.0	1.0	19.0	3.0	5.0	10.0	14.0	3.0	5.0	6.0	9.0	15.0
