cube5_cluster0	['cube9_cluster0', 'cube10_cluster0', 'cube11_cluster0']
cube5_cluster1	['cube9_cluster0', 'cube10_cluster0', 'cube11_cluster0', 'cube11_cluster1', 'cube15_cluster1', 'cube16_cluster1', 'cube17_cluster0', 'cube17_cluster1']
cube6_cluster0	['cube7_cluster0', 'cube8_cluster1', 'cube12_cluster1', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster1', 'cube18_cluster0', 'cube19_cluster0', 'cube20_cluster1']
cube6_cluster1	['cube7_cluster0', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube14_cluster0', 'cube14_cluster1', 'cube18_cluster0', 'cube19_cluster0']
cube7_cluster0	['cube8_cluster1', 'cube9_cluster1', 'cube12_cluster0', 'cube12_cluster1', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0', 'cube18_cluster0', 'cube19_cluster0', 'cube20_cluster0', 'cube20_cluster1', 'cube21_cluster0', 'cube21_cluster1']
cube7_cluster1	['cube8_cluster0', 'cube8_cluster1', 'cube9_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0']
cube8_cluster0	['cube9_cluster0', 'cube9_cluster1', 'cube10_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster0', 'cube15_cluster0', 'cube16_cluster0', 'cube20_cluster0', 'cube20_cluster1', 'cube21_cluster1']
cube8_cluster1	['cube9_cluster1', 'cube12_cluster0', 'cube12_cluster1', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0', 'cube18_cluster0', 'cube19_cluster0', 'cube20_cluster0', 'cube20_cluster1', 'cube21_cluster0', 'cube21_cluster1']
cube9_cluster0	['cube10_cluster0', 'cube10_cluster1', 'cube11_cluster0', 'cube11_cluster1', 'cube15_cluster1', 'cube16_cluster1', 'cube17_cluster0', 'cube17_cluster1']
cube9_cluster1	['cube10_cluster1', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0', 'cube15_cluster1', 'cube16_cluster0', 'cube19_cluster0', 'cube20_cluster0', 'cube20_cluster1', 'cube21_cluster0', 'cube21_cluster1']
cube10_cluster0	['cube11_cluster0', 'cube11_cluster1', 'cube15_cluster1', 'cube16_cluster1', 'cube17_cluster0', 'cube17_cluster1']
cube10_cluster1	['cube14_cluster0', 'cube15_cluster0', 'cube15_cluster1', 'cube16_cluster0', 'cube20_cluster1', 'cube21_cluster1']
